STUDENTYEARMODULE,SID,NUMHUS,COURSETITLE,MODULENAME,CREDITS,LEVEL,SEMESTER,AGEONENTRY,SEX,ETHNICITY,ETHNICITYDETAILED,DISABLETYPE,CARELEAVER,IMDQUINTILE,ACCOMMODATIONTYPE,COMMUTELENGTH,OFSENTQUALGRPCODE,OFSENTQUALGRPLABEL,HESATARIFFGRPCODE,HESATARIFFGRPLABEL,TARIFFPOINTS,STATEMARKERLABEL,SCHOLARSHIPANY,GREATSTARTACCESS,BURSARY,CLASSIFICATION,MABSEQ,ASSTYPECODE,ASSTYPENAME,ASSPERC,HASMC,ACCEPTEDMC,MODULEGRADE
"A__A8RSWA]71Z""6)5?M5U-",0.1019396225747327,0.0,BSc Psychology FT,Individual Differences,0.0,0.0,SEM1,-0.32407149626510107,Female,Asian,Asian - Bangladeshi or Bangladeshi British,Not disabled,Not a care leaver,Quintile 2,Commuter,6-10 miles,-0.4192863562200545,A-levels (CDD or higher),3,66 - 80 points,-0.4107455867062911,State school leaver,Not a scholarship student,Other students,Other students,02:01,-0.9841894013026808,CWK,Coursework,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,0.20693668855194927
"A__A8RSWA]71Z""6)5?M5U-",0.1019396225747327,0.0,BSc Psychology FT,Individual Differences,0.0,0.0,SEM1,-0.32407149626510107,Female,Asian,Asian - Bangladeshi or Bangladeshi British,Not disabled,Not a care leaver,Quintile 2,Commuter,6-10 miles,-0.4192863562200545,A-levels (CDD or higher),3,66 - 80 points,-0.4107455867062911,State school leaver,Not a scholarship student,Other students,Other students,02:01,0.6220280334895573,EXC,Examination - closed book,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,0.5018397255735543
A-A@&M]ZHTX&TG;)H.6PX*,0.1019396225747327,0.0,BSc Psychology FT,Individual Differences,0.0,0.0,SEM1,-0.32407149626510107,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Not disabled,Not a care leaver,Quintile 3,Commuter,6-10 miles,-0.4192863562200545,A-levels (CDD or higher),5,91 - 105 points,-0.008930763597091992,State school leaver,Not a scholarship student,Other students,Other students,02:01,-0.9841894013026808,CWK,Coursework,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,-0.06487785446796426
A-A@&M]ZHTX&TG;)H.6PX*,0.1019396225747327,0.0,BSc Psychology FT,Individual Differences,0.0,0.0,SEM1,-0.32407149626510107,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Not disabled,Not a care leaver,Quintile 3,Commuter,6-10 miles,-0.4192863562200545,A-levels (CDD or higher),5,91 - 105 points,-0.008930763597091992,State school leaver,Not a scholarship student,Other students,Other students,02:01,0.6220280334895573,EXC,Examination - closed book,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,0.9205810486042334
"A-P,&^E3(;1GXP-&,\Y5^,",0.1019396225747327,0.0,BSc Cognitive and Clinical Neuroscience FT,Cognitive Psychology,0.0,0.0,SEM1,0.489755731441695,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Not disabled,Not a care leaver,Quintile 2,Commuter,10-15 miles,-0.4192863562200545,A-levels (CDD or higher),Z5,Not in the standard tariff population,-2.4198197022522865,Unknown,Not a scholarship student,Other low income students,Other low income students,02:01,-0.9841894013026808,CWK,Coursework,-0.39689379082727955,-0.20816990425703272,-0.20294373961704976,0.1660070855489506
"A-P,&^E3(;1GXP-&,\Y5^,",0.1019396225747327,0.0,BSc Cognitive and Clinical Neuroscience FT,Cognitive Psychology,0.0,0.0,SEM1,0.489755731441695,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Not disabled,Not a care leaver,Quintile 2,Commuter,10-15 miles,-0.4192863562200545,A-levels (CDD or higher),Z5,Not in the standard tariff population,-2.4198197022522865,Unknown,Not a scholarship student,Other low income students,Other low income students,02:01,0.6220280334895573,EXC,Examination - closed book,0.8747760484773625,-0.20816990425703272,-0.20294373961704976,-0.7428399965176338
"A,*7$4C""=J55@@P4J-IH-)",0.1019396225747327,0.0,BSc Cognitive and Clinical Neuroscience FT,Individual Differences,0.0,0.0,SEM1,-0.32407149626510107,Female,Black,Black - African or African British,Not disabled,Not a care leaver,Quintile 4,Unknown,Not known,-0.003127774153192253,"A-levels (DDD or lower), other level 3 qualification (105 tariff points or higher) or two A-levels and one BTEC",5,91 - 105 points,-0.10938446937439175,State school leaver,Not a scholarship student,Other low income students,Other low income students,02:01,-0.9841894013026808,CWK,Coursework,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,-0.482569700498566
"A,*7$4C""=J55@@P4J-IH-)",0.1019396225747327,0.0,BSc Cognitive and Clinical Neuroscience FT,Individual Differences,0.0,0.0,SEM1,-0.32407149626510107,Female,Black,Black - African or African British,Not disabled,Not a care leaver,Quintile 4,Unknown,Not known,-0.003127774153192253,"A-levels (DDD or lower), other level 3 qualification (105 tariff points or higher) or two A-levels and one BTEC",5,91 - 105 points,-0.10938446937439175,State school leaver,Not a scholarship student,Other low income students,Other low income students,02:01,0.6220280334895573,EXC,Examination - closed book,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,-1.4522864485696105
A;+L3[=ET2>6=8AV=@2A#+,0.1019396225747327,0.0,BSc Psychology FT,Cognitive Psychology,0.0,0.0,SEM1,-0.32407149626510107,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Not disabled,Not a care leaver,Quintile 2,Unknown,Not known,-1.251603520353779,A-levels (ABB or higher),7,116+ points,1.4978748230624046,State school leaver,Scholarship student,Other students,Other students,1st,-0.9841894013026808,CWK,Coursework,-0.39689379082727955,-0.20816990425703272,-0.20294373961704976,0.5207303115749389
A;+L3[=ET2>6=8AV=@2A#+,0.1019396225747327,0.0,BSc Psychology FT,Cognitive Psychology,0.0,0.0,SEM1,-0.32407149626510107,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Not disabled,Not a care leaver,Quintile 2,Unknown,Not known,-1.251603520353779,A-levels (ABB or higher),7,116+ points,1.4978748230624046,State school leaver,Scholarship student,Other students,Other students,1st,0.6220280334895573,EXC,Examination - closed book,0.8747760484773625,-0.20816990425703272,-0.20294373961704976,1.8084385906692797
